symbol,timestamp
A,2025-01-25T13:13:08.367911
AA,2025-01-25T13:13:08.367953
AACG,2025-01-25T13:13:08.367965
AACT,2025-01-25T13:13:08.367974
AADI,2025-01-25T13:13:08.367984
AAL,2025-01-25T13:13:08.367993
AAM,2025-01-25T13:13:08.368002
AAME,2025-01-25T13:13:08.368010
AAMI,2025-01-25T13:13:08.368018
AAOI,2025-01-25T13:13:08.368027
AAON,2025-01-25T13:13:08.368036
AAP,2025-01-25T13:13:08.368044
AAPGV,2025-01-25T13:13:08.368053
AAPL,2025-01-25T13:13:08.368061
AAT,2025-01-25T13:13:08.368069
AB,2025-01-25T13:13:08.368078
ABAT,2025-01-25T13:13:08.368086
ABBV,2025-01-25T13:13:08.368095
ABCB,2025-01-25T13:13:08.368104
ABCL,2025-01-25T13:13:08.368112
ABEO,2025-01-25T13:13:08.368121
ABEV,2025-01-25T13:13:08.368129
ABG,2025-01-25T13:13:08.368137
ABL,2025-01-25T13:13:08.368145
ABLLL,2025-01-25T13:13:08.368153
ABLLW,2025-01-25T13:13:08.368162
ABLV,2025-01-25T13:13:08.368171
ABLVW,2025-01-25T13:13:08.368179
ABM,2025-01-25T13:13:08.368187
ABNB,2025-01-25T13:13:08.368196
ABOS,2025-01-25T13:13:08.368204
ABP,2025-01-25T13:13:08.368212
ABPWW,2025-01-25T13:13:08.368221
ABR,2025-01-25T13:13:08.368230
ABR^D,2025-01-25T13:13:08.368238
ABR^E,2025-01-25T13:13:08.368246
ABR^F,2025-01-25T13:13:08.368255
ABSI,2025-01-25T13:13:08.368265
ABT,2025-01-25T13:13:08.368273
ABTS,2025-01-25T13:13:08.368282
ABUS,2025-01-25T13:13:08.368290
ABVC,2025-01-25T13:13:08.368299
ABVE,2025-01-25T13:13:08.368307
ABVEW,2025-01-25T13:13:08.368315
ABVX,2025-01-25T13:13:08.368324
AC,2025-01-25T13:13:08.368332
ACA,2025-01-25T13:13:08.368340
ACAD,2025-01-25T13:13:08.368348
ACB,2025-01-25T13:13:08.368357
ACCD,2025-01-25T13:13:08.368365
ACCO,2025-01-25T13:13:08.368407
ACDC,2025-01-25T13:13:08.368416
ACEL,2025-01-25T13:13:08.368424
ACET,2025-01-25T13:13:08.368434
ACGL,2025-01-25T13:13:08.368442
ACGLN,2025-01-25T13:13:08.368450
ACGLO,2025-01-25T13:13:08.368459
ACHC,2025-01-25T13:13:08.368467
ACHL,2025-01-25T13:13:08.368476
ACHR,2025-01-25T13:13:08.368484
ACHV,2025-01-25T13:13:08.368492
ACI,2025-01-25T13:13:08.368500
ACIC,2025-01-25T13:13:08.368509
ACIU,2025-01-25T13:13:08.368517
ACIW,2025-01-25T13:13:08.368525
ACLS,2025-01-25T13:13:08.368536
ACLX,2025-01-25T13:13:08.368545
ACM,2025-01-25T13:13:08.368553
ACMR,2025-01-25T13:13:08.368562
ACN,2025-01-25T13:13:08.368570
ACNB,2025-01-25T13:13:08.368578
ACNT,2025-01-25T13:13:08.368586
ACOG,2025-01-25T13:13:08.368594
ACON,2025-01-25T13:13:08.368603
ACONW,2025-01-25T13:13:08.368611
ACP,2025-01-25T13:13:08.368619
ACP^A,2025-01-25T13:13:08.368628
ACR,2025-01-25T13:13:08.368640
ACR^C,2025-01-25T13:13:08.368649
ACR^D,2025-01-25T13:13:08.368657
ACRE,2025-01-25T13:13:08.368665
ACRS,2025-01-25T13:13:08.368674
ACRV,2025-01-25T13:13:08.368682
ACT,2025-01-25T13:13:08.368691
ACTG,2025-01-25T13:13:08.368699
ACTU,2025-01-25T13:13:08.368708
ACU,2025-01-25T13:13:08.368716
ACV,2025-01-25T13:13:08.368725
ACVA,2025-01-25T13:13:08.368733
ACXP,2025-01-25T13:13:08.368742
ADAG,2025-01-25T13:13:08.368750
ADAP,2025-01-25T13:13:08.368759
ADBE,2025-01-25T13:13:08.368767
ADC,2025-01-25T13:13:08.368777
ADC^A,2025-01-25T13:13:08.368786
ADCT,2025-01-25T13:13:08.368794
ADD,2025-01-25T13:13:08.368802
ADEA,2025-01-25T13:13:08.368811
ADGM,2025-01-25T13:13:08.368819
ADI,2025-01-25T13:13:08.368827
ADIL,2025-01-25T13:13:08.368835
ADM,2025-01-25T13:13:08.368843
ADMA,2025-01-25T13:13:08.368852
ADN,2025-01-25T13:13:08.368860
ADNT,2025-01-25T13:13:08.368868
ADNWW,2025-01-25T13:13:08.368876
ADP,2025-01-25T13:13:08.368884
ADPT,2025-01-25T13:13:08.368893
ADSE,2025-01-25T13:13:08.368901
ADSEW,2025-01-25T13:13:08.368911
ADSK,2025-01-25T13:13:08.368919
ADT,2025-01-25T13:13:08.368927
ADTN,2025-01-25T13:13:08.368936
ADTX,2025-01-25T13:13:08.368944
ADUR,2025-01-25T13:13:08.368953
ADUS,2025-01-25T13:13:08.368961
ADV,2025-01-25T13:13:08.368969
ADVM,2025-01-25T13:13:08.368977
ADVWW,2025-01-25T13:13:08.368986
ADX,2025-01-25T13:13:08.368994
ADXN,2025-01-25T13:13:08.369002
AE,2025-01-25T13:13:08.369010
AEE,2025-01-25T13:13:08.369019
AEF,2025-01-25T13:13:08.369027
AEFC,2025-01-25T13:13:08.369035
AEG,2025-01-25T13:13:08.369043
AEHL,2025-01-25T13:13:08.369051
AEHR,2025-01-25T13:13:08.369059
AEI,2025-01-25T13:13:08.369068
AEIS,2025-01-25T13:13:08.369078
AEM,2025-01-25T13:13:08.369086
AEMD,2025-01-25T13:13:08.369094
AENT,2025-01-25T13:13:08.369102
AENTW,2025-01-25T13:13:08.369111
AEO,2025-01-25T13:13:08.369119
AEON,2025-01-25T13:13:08.369127
AEP,2025-01-25T13:13:08.369135
AER,2025-01-25T13:13:08.369143
AERT,2025-01-25T13:13:08.369151
AERTW,2025-01-25T13:13:08.369160
AES,2025-01-25T13:13:08.369168
AESI,2025-01-25T13:13:08.369176
AEVA,2025-01-25T13:13:08.369184
AEYE,2025-01-25T13:13:08.369193
AFB,2025-01-25T13:13:08.369201
AFBI,2025-01-25T13:13:08.369209
AFCG,2025-01-25T13:13:08.369217
AFG,2025-01-25T13:13:08.369226
AFGB,2025-01-25T13:13:08.369234
AFGC,2025-01-25T13:13:08.369244
AFGD,2025-01-25T13:13:08.369253
AFGE,2025-01-25T13:13:08.369261
AFJK,2025-01-25T13:13:08.369269
AFJKR,2025-01-25T13:13:08.369277
AFL,2025-01-25T13:13:08.369285
AFMD,2025-01-25T13:13:08.369294
AFRI,2025-01-25T13:13:08.369302
AFRIW,2025-01-25T13:13:08.369310
AFRM,2025-01-25T13:13:08.369318
AFYA,2025-01-25T13:13:08.369326
AG,2025-01-25T13:13:08.369334
AGAE,2025-01-25T13:13:08.369343
AGCO,2025-01-25T13:13:08.369351
AGD,2025-01-25T13:13:08.369359
AGEN,2025-01-25T13:13:08.369367
AGFY,2025-01-25T13:13:08.369375
AGI,2025-01-25T13:13:08.369383
AGIO,2025-01-25T13:13:08.369391
AGL,2025-01-25T13:13:08.369399
AGM,2025-01-25T13:13:08.369407
AGM^D,2025-01-25T13:13:08.369416
AGM^E,2025-01-25T13:13:08.369424
AGM^F,2025-01-25T13:13:08.369432
AGM^G,2025-01-25T13:13:08.369442
AGMH,2025-01-25T13:13:08.369450
AGNC,2025-01-25T13:13:08.369459
AGNCL,2025-01-25T13:13:08.369467
AGNCM,2025-01-25T13:13:08.369475
AGNCN,2025-01-25T13:13:08.369484
AGNCO,2025-01-25T13:13:08.369492
AGNCP,2025-01-25T13:13:08.369500
AGO,2025-01-25T13:13:08.369508
AGRI,2025-01-25T13:13:08.369516
AGRO,2025-01-25T13:13:08.369525
AGS,2025-01-25T13:13:08.369533
AGX,2025-01-25T13:13:08.369541
AGYS,2025-01-25T13:13:08.369549
AHCO,2025-01-25T13:13:08.369557
AHG,2025-01-25T13:13:08.369565
AHH,2025-01-25T13:13:08.369574
AHH^A,2025-01-25T13:13:08.369582
AHL^D,2025-01-25T13:13:08.369590
AHL^E,2025-01-25T13:13:08.369598
AHL^F,2025-01-25T13:13:08.369606
AHR,2025-01-25T13:13:08.369615
AHT,2025-01-25T13:13:08.369623
AHT^D,2025-01-25T13:13:08.369631
AHT^F,2025-01-25T13:13:08.369639
AHT^G,2025-01-25T13:13:08.369648
AHT^H,2025-01-25T13:13:08.369656
AHT^I,2025-01-25T13:13:08.369664
AI,2025-01-25T13:13:08.369674
AIEV,2025-01-25T13:13:08.369683
AIFF,2025-01-25T13:13:08.369691
AIFU,2025-01-25T13:13:08.369699
AIG,2025-01-25T13:13:08.369707
AIHS,2025-01-25T13:13:08.369715
AIM,2025-01-25T13:13:08.369723
AIMAU,2025-01-25T13:13:08.369731
AIMAW,2025-01-25T13:13:08.369740
AIMBU,2025-01-25T13:13:08.369748
AIMD,2025-01-25T13:13:08.369756
AIMDW,2025-01-25T13:13:08.369764
AIN,2025-01-25T13:13:08.369773
AIO,2025-01-25T13:13:08.369781
AIOT,2025-01-25T13:13:08.369789
AIP,2025-01-25T13:13:08.369797
AIR,2025-01-25T13:13:08.369805
