symbol,name,market_cap,dividend_yield,age_years,pe_ratio,debt_to_equity,payout_ratio,total_cash,free_cash_flow,free_cash_flow_yield,timestamp
A,"Agilent Technologies, Inc.",43250507776,0,25.188227241615333,34.10811,0,0,0,0,0,2025-01-26T06:16:50.644524
AA,Alcoa Corporation,9670227968,1.0299999,63.063655030800824,143.96155,56.095,5.84,1312999936,552124992,5.709534395952722,2025-01-26T06:16:51.969186
AACG,ATA Creativity Global,26438076,0,16.99110198494182,0,59.868,0,39391128,0,0,2025-01-26T06:16:53.313158
AACT,Ares Acquisition Corporation II,687500032,0,1.620807665982204,25.0,0,0,1396782,-498024,-0.07243985117370876,2025-01-26T06:16:54.617537
AADI,"Aadi Bioscience, Inc.",77497400,0,6.940451745379876,0,1.374,0,62619000,-35620500,-45.96347748440593,2025-01-26T06:16:55.943751
AAL,American Airlines Group Inc.,11152319488,0,19.329226557152634,13.677419,0,0,8949999616,445375008,3.993563926134179,2025-01-26T06:16:57.275650
AAM,AA Mission Acquisition Corp.,445456640,0,0.3586584531143053,0,0,0,0,0,0,2025-01-26T06:16:58.571213
AAME,Atlantic American Corporation,30905696,1.17999995,44.85968514715948,0,39.852,14.29,21213000,10483625,33.921336054040005,2025-01-26T06:16:59.879199
AAMI,Acadian Asset Management Inc.,962801792,0.16,10.297056810403832,15.731707,0,2.4400001000000002,53600000,107925000,11.209472281497373,2025-01-26T06:17:01.198812
AAOI,"Applied Optoelectronics, Inc.",1515865088,0,11.331964407939767,0,57.201,0,34124000,-38015376,-2.5078337314408814,2025-01-26T06:17:02.493150
AAON,"AAON, Inc.",10786616320,0.23999999000000002,32.10951403148528,58.206142,8.581,14.039999,2859000,87713872,0.8131731897922925,2025-01-26T06:17:03.779852
AAP,"Advance Auto Parts, Inc.",2893539072,2.4300002000000003,23.156741957563312,61.316452,171.801,625.0,479417984,493546624,17.05685016580277,2025-01-26T06:17:05.074195
AAPGV,Ascentage Pharma Group International American Depository Shares When Issued,127308496,0,0.0027378507871321013,0,218.961,0,1100313984,-771156864,-605.7387277593791,2025-01-26T06:17:06.347717
AAPL,Apple Inc.,3350143172608,0.44999999999999996,44.120465434633815,36.64145,209.059,16.12,65171001344,110846001152,3.308694447996061,2025-01-26T06:17:07.628690
AAT,"American Assets Trust, Inc.",1872348672,5.52,14.03422313483915,25.041237,185.382,137.63001,533004000,0,0,2025-01-26T06:17:08.950011
