Symbol,ftp_nasdaqtrader,nasdaq_screener_api,nasdaq_traded_list,nasdaq_listed_list,yahoo_nasdaq_tickers
A,1,0,1,0,0
AA,1,0,1,0,0
AAA,1,0,1,0,0
AAAU,1,0,1,0,0
AACG,1,1,1,1,0
AACT,1,0,1,0,0
AADI,1,1,1,1,0
AADR,1,0,1,1,0
AAL,1,1,1,1,0
AAM,1,0,1,0,0
AAM.U,1,0,1,0,0
AAM.W,1,0,1,0,0
AAME,1,1,1,1,0
AAMI,1,0,1,0,0
AAOI,1,1,1,1,0
AAON,1,1,1,1,0
AAP,1,0,1,0,0
AAPB,1,0,1,1,0
AAPD,1,0,1,1,0
AAPGV,1,1,1,1,0
AAPL,1,1,1,1,0
AAPR,1,0,1,0,0
AAPU,1,0,1,1,0
AAPX,1,0,1,0,0
AAPY,1,0,1,0,0
AAT,1,0,1,0,0
AAXJ,1,0,1,1,0
AB,1,0,1,0,0
ABAT,1,1,1,1,0
ABBV,1,0,1,0,0
ABCB,1,0,1,0,0
ABCL,1,1,1,1,0
ABCS,1,0,1,1,0
ABEO,1,1,1,1,0
ABEQ,1,0,1,0,0
ABEV,1,0,1,0,0
ABFL,1,0,1,0,0
ABG,1,0,1,0,0
ABHY,1,0,1,0,0
ABL,1,1,1,1,0
ABLD,1,0,1,0,0
ABLG,1,0,1,0,0
ABLLL,1,1,1,1,0
ABLLW,1,1,1,1,0
ABLV,1,1,1,1,0
ABLVW,1,1,1,1,0
ABM,1,0,1,0,0
ABNB,1,1,1,1,0
ABNY,1,0,1,0,0
ABOS,1,1,1,1,0
ABOT,1,0,1,0,0
ABP,1,1,1,1,0
ABPWW,1,1,1,1,0
ABR,1,0,1,0,0
ABR$D,1,0,1,0,0
ABR$E,1,0,1,0,0
ABR$F,1,0,1,0,0
ABSI,1,1,1,1,0
ABT,1,0,1,0,0
ABTS,1,1,1,1,0
ABUS,1,1,1,1,0
ABVC,1,1,1,1,0
ABVE,1,1,1,1,0
ABVEW,1,1,1,1,0
ABVX,1,1,1,1,0
AC,1,0,1,0,0
ACA,1,0,1,0,0
ACAD,1,1,1,1,0
ACB,1,1,1,1,0
ACCD,1,1,1,1,0
ACCO,1,0,1,0,0
ACDC,1,1,1,1,0
ACEL,1,0,1,0,0
ACES,1,0,1,0,0
ACET,1,1,1,1,0
ACGL,1,1,1,1,0
ACGLN,1,1,1,1,0
ACGLO,1,1,1,1,0
ACGR,1,0,1,0,0
ACHC,1,1,1,1,0
ACHL,1,1,1,1,0
ACHR,1,0,1,0,0
ACHV,1,1,1,1,0
ACI,1,0,1,0,0
ACIC,1,1,1,1,0
ACIO,1,0,1,0,0
ACIU,1,1,1,1,0
ACIW,1,1,1,1,0
ACLC,1,0,1,0,0
ACLO,1,0,1,0,0
ACLS,1,1,1,1,0
ACLX,1,1,1,1,0
ACM,1,0,1,0,0
ACMR,1,1,1,1,0
ACN,1,0,1,0,0
ACNB,1,1,1,1,0
ACNT,1,1,1,1,0
ACOG,1,1,1,1,0
ACON,1,1,1,1,0
ACONW,1,1,1,1,0
ACP,1,0,1,0,0
ACP$A,1,0,1,0,0
ACR,1,0,1,0,0
ACR$C,1,0,1,0,0
ACR$D,1,0,1,0,0
ACRE,1,0,1,0,0
ACRS,1,1,1,1,0
ACRV,1,1,1,1,0
ACSI,1,0,1,0,0
ACT,1,1,1,1,0
ACTG,1,1,1,1,0
ACTU,1,1,1,1,0
ACTV,1,0,1,0,0
ACU,1,0,1,0,0
ACV,1,0,1,0,0
ACVA,1,1,1,1,0
ACVF,1,0,1,0,0
ACWI,1,0,1,1,0
ACWV,1,0,1,0,0
ACWX,1,0,1,1,0
ACXP,1,1,1,1,0
ADAG,1,1,1,1,0
ADAP,1,1,1,1,0
ADBE,1,1,1,1,0
ADC,1,0,1,0,0
ADC$A,1,0,1,0,0
ADCT,1,0,1,0,0
ADD,1,1,1,1,0
ADEA,1,1,1,1,0
ADFI,1,0,1,0,0
ADGM,1,1,1,1,0
ADI,1,1,1,1,0
ADIL,1,1,1,1,0
ADIV,1,0,1,0,0
ADM,1,0,1,0,0
ADMA,1,1,1,1,0
ADME,1,0,1,0,0
ADN,1,1,1,1,0
ADNT,1,0,1,0,0
ADNWW,1,1,1,1,0
ADP,1,1,1,1,0
ADPT,1,1,1,1,0
ADPV,1,0,1,0,0
ADSE,1,1,1,1,0
ADSEW,1,1,1,1,0
ADSK,1,1,1,1,0
ADT,1,0,1,0,0
ADTN,1,1,1,1,0
ADTX,1,1,1,1,0
ADUR,1,1,1,1,0
ADUS,1,1,1,1,0
ADV,1,1,1,1,0
ADVE,1,0,1,0,0
ADVM,1,1,1,1,0
ADVWW,1,1,1,1,0
ADX,1,0,1,0,0
ADXN,1,1,1,1,0
AE,1,0,1,0,0
AEE,1,0,1,0,0
AEF,1,0,1,0,0
AEFC,1,0,1,0,0
AEG,1,0,1,0,0
AEHL,1,1,1,1,0
AEHR,1,1,1,1,0
AEI,1,1,1,1,0
AEIS,1,1,1,1,0
AEM,1,0,1,0,0
AEMD,1,1,1,1,0
AENT,1,1,1,1,0
AENTW,1,1,1,1,0
AEO,1,0,1,0,0
AEON,1,0,1,0,0
AEP,1,1,1,1,0
AER,1,0,1,0,0
AERT,1,1,1,1,0
AERTW,1,1,1,1,0
AES,1,0,1,0,0
AESI,1,0,1,0,0
AESR,1,0,1,0,0
AETH,1,0,1,0,0
AEVA,1,0,1,0,0
AEYE,1,1,1,1,0
AFB,1,0,1,0,0
AFBI,1,1,1,1,0
AFCG,1,1,1,1,0
AFG,1,0,1,0,0
AFGB,1,0,1,0,0
AFGC,1,0,1,0,0
AFGD,1,0,1,0,0
AFGE,1,0,1,0,0
AFIF,1,0,1,0,0
AFIX,1,0,1,0,0
AFJK,1,1,1,1,0
AFJKR,1,1,1,1,0
AFJKU,1,0,1,1,0
AFK,1,0,1,0,0
AFL,1,0,1,0,0
AFLG,1,0,1,0,0
AFMC,1,0,1,0,0
AFMD,1,1,1,1,0
AFRI,1,1,1,1,0
AFRIW,1,1,1,1,0
AFRM,1,1,1,1,0
AFSM,1,0,1,0,0
AFYA,1,1,1,1,0
AG,1,0,1,0,0
