symbol,timestamp
A,2025-01-25T13:15:45.873675
AA,2025-01-25T13:15:45.873700
AACG,2025-01-25T13:15:45.873707
AACT,2025-01-25T13:15:45.873712
AADI,2025-01-25T13:15:45.873717
AAL,2025-01-25T13:15:45.873722
AAM,2025-01-25T13:15:45.873726
AAME,2025-01-25T13:15:45.873731
AAMI,2025-01-25T13:15:45.873735
AAOI,2025-01-25T13:15:45.873740
AAON,2025-01-25T13:15:45.873744
AAP,2025-01-25T13:15:45.873749
AAPGV,2025-01-25T13:15:45.873753
AAPL,2025-01-25T13:15:45.873758
AAT,2025-01-25T13:15:45.873762
AB,2025-01-25T13:15:45.873766
ABAT,2025-01-25T13:15:45.873771
ABBV,2025-01-25T13:15:45.873776
ABCB,2025-01-25T13:15:45.873780
ABCL,2025-01-25T13:15:45.873785
ABEO,2025-01-25T13:15:45.873789
ABEV,2025-01-25T13:15:45.873794
ABG,2025-01-25T13:15:45.873798
ABL,2025-01-25T13:15:45.873802
ABLLL,2025-01-25T13:15:45.873807
ABLLW,2025-01-25T13:15:45.873812
ABLV,2025-01-25T13:15:45.873816
ABLVW,2025-01-25T13:15:45.873821
ABM,2025-01-25T13:15:45.873825
ABNB,2025-01-25T13:15:45.873829
ABOS,2025-01-25T13:15:45.873833
ABP,2025-01-25T13:15:45.873838
ABPWW,2025-01-25T13:15:45.873842
ABR,2025-01-25T13:15:45.873847
ABR^D,2025-01-25T13:15:45.873851
ABR^E,2025-01-25T13:15:45.873856
ABR^F,2025-01-25T13:15:45.873860
ABSI,2025-01-25T13:15:45.873865
ABT,2025-01-25T13:15:45.873869
ABTS,2025-01-25T13:15:45.873873
ABUS,2025-01-25T13:15:45.873878
ABVC,2025-01-25T13:15:45.873882
ABVE,2025-01-25T13:15:45.873887
ABVEW,2025-01-25T13:15:45.873891
ABVX,2025-01-25T13:15:45.873896
AC,2025-01-25T13:15:45.873903
ACA,2025-01-25T13:15:45.873908
ACAD,2025-01-25T13:15:45.873912
ACB,2025-01-25T13:15:45.873916
ACCD,2025-01-25T13:15:45.873921
ACCO,2025-01-25T13:15:45.873928
ACDC,2025-01-25T13:15:45.873933
ACEL,2025-01-25T13:15:45.873940
ACET,2025-01-25T13:15:45.873946
ACGL,2025-01-25T13:15:45.873951
ACGLN,2025-01-25T13:15:45.873955
ACGLO,2025-01-25T13:15:45.873959
ACHC,2025-01-25T13:15:45.873964
ACHL,2025-01-25T13:15:45.873968
ACHR,2025-01-25T13:15:45.873973
ACHV,2025-01-25T13:15:45.873977
ACI,2025-01-25T13:15:45.873982
ACIC,2025-01-25T13:15:45.873986
ACIU,2025-01-25T13:15:45.873990
ACIW,2025-01-25T13:15:45.873995
ACLS,2025-01-25T13:15:45.874000
ACLX,2025-01-25T13:15:45.874005
ACM,2025-01-25T13:15:45.874009
ACMR,2025-01-25T13:15:45.874014
ACN,2025-01-25T13:15:45.874018
ACNB,2025-01-25T13:15:45.874022
ACNT,2025-01-25T13:15:45.874027
ACOG,2025-01-25T13:15:45.874031
ACON,2025-01-25T13:15:45.874035
ACONW,2025-01-25T13:15:45.874040
ACP,2025-01-25T13:15:45.874044
ACP^A,2025-01-25T13:15:45.874049
ACR,2025-01-25T13:15:45.874055
ACR^C,2025-01-25T13:15:45.874060
ACR^D,2025-01-25T13:15:45.874064
ACRE,2025-01-25T13:15:45.874068
ACRS,2025-01-25T13:15:45.874075
ACRV,2025-01-25T13:15:45.874080
ACT,2025-01-25T13:15:45.874084
ACTG,2025-01-25T13:15:45.874089
ACTU,2025-01-25T13:15:45.874093
ACU,2025-01-25T13:15:45.874098
ACV,2025-01-25T13:15:45.874102
ACVA,2025-01-25T13:15:45.874106
ACXP,2025-01-25T13:15:45.874111
ADAG,2025-01-25T13:15:45.874115
ADAP,2025-01-25T13:15:45.874119
ADBE,2025-01-25T13:15:45.874124
ADC,2025-01-25T13:15:45.874129
ADC^A,2025-01-25T13:15:45.874134
ADCT,2025-01-25T13:15:45.874138
ADD,2025-01-25T13:15:45.874143
ADEA,2025-01-25T13:15:45.874147
ADGM,2025-01-25T13:15:45.874151
ADI,2025-01-25T13:15:45.874156
ADIL,2025-01-25T13:15:45.874160
ADM,2025-01-25T13:15:45.874164
ADMA,2025-01-25T13:15:45.874171
ADN,2025-01-25T13:15:45.874176
ADNT,2025-01-25T13:15:45.874180
ADNWW,2025-01-25T13:15:45.874184
ADP,2025-01-25T13:15:45.874189
ADPT,2025-01-25T13:15:45.874193
ADSE,2025-01-25T13:15:45.874198
ADSEW,2025-01-25T13:15:45.874206
ADSK,2025-01-25T13:15:45.874210
ADT,2025-01-25T13:15:45.874215
ADTN,2025-01-25T13:15:45.874219
ADTX,2025-01-25T13:15:45.874226
ADUR,2025-01-25T13:15:45.874231
ADUS,2025-01-25T13:15:45.874235
ADV,2025-01-25T13:15:45.874239
ADVM,2025-01-25T13:15:45.874243
ADVWW,2025-01-25T13:15:45.874248
ADX,2025-01-25T13:15:45.874252
ADXN,2025-01-25T13:15:45.874257
AE,2025-01-25T13:15:45.874261
AEE,2025-01-25T13:15:45.874265
AEF,2025-01-25T13:15:45.874270
AEFC,2025-01-25T13:15:45.874274
AEG,2025-01-25T13:15:45.874279
AEHL,2025-01-25T13:15:45.874283
AEHR,2025-01-25T13:15:45.874287
AEI,2025-01-25T13:15:45.874291
AEIS,2025-01-25T13:15:45.874297
AEM,2025-01-25T13:15:45.874301
AEMD,2025-01-25T13:15:45.874306
